Animal,ExpID,stacks,donut segmentation,segmentation comments,recording comments
Nlgn42,54361,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn42,54391,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn42,54436,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54401,2 x dark; 2x nat; 6 x cn awake,done,2 and 3 more shifted,
Nlgn41,54411,2 x dark; 2x nat; 6 x cn awake,done,some drifte in middle 2-3 slices,
Nlgn41,54446,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn41,54494,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54540,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn41,54550,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54421,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn46,54456,2 x dark; 2x nat; 6 x cn awake,done,few rois; region looks strange; don't know if should include this animal,
Nlgn46,54466,2 x dark; 2x nat; 6 x cn awake,done,,
Nlgn46,54484,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54520,2 x dark; 2x nat; 6 x cn anest,done,,
Nlgn46,54530,2 x dark; 2x nat; 6 x cn anest,done,few rois (first slice; next ones better),
